Player,Position16,Age16,Games16,Pass Cmp16,Pass Att16,Pass Yds16,Pass TD16,Pass Int16,Rush Att16,Rush Yds16,Rush TD16,Rec Tgt16,Rec16,Rec Yds16,Rec TD16,Fmb16,Tot TD16,FantPt16,PPR16
Kelvin Benjamin,WR,25,16,0,0,0,0,0,0,0,0,118,63,941,7,1,7,134,197.1
Derek Carr,QB,25,15,357,560,3937,28,6,39,70,0,0,0,0,0,5,0,268,268.5
Antonio Gates,TE,36,14,0,0,0,0,0,0,0,0,93,53,548,7,1,7,95,147.8
Russell Wilson,QB,28,16,353,546,4219,21,11,72,259,1,2,2,14,1,8,2,268,270.1
Emmanuel Sanders,WR,29,16,0,0,0,0,0,1,4,0,137,79,1032,5,1,5,134,212.6
Hunter Henry,TE,22,15,0,0,0,0,0,0,0,0,53,36,478,8,1,8,94,129.8
Julian Edelman,WR,30,16,0,0,0,0,0,12,57,0,159,98,1106,3,3,3,132,230.3
Golden Tate,WR,28,16,0,0,0,0,0,10,4,0,135,91,1077,4,2,4,132,223.1
Mike Wallace,WR,30,16,0,0,0,0,0,5,31,0,116,72,1017,4,1,4,131,202.8
Jamison Crowder,WR,23,16,0,0,0,0,0,2,-2,0,99,67,847,7,2,8,131,197.5
Dez Bryant,WR,28,13,1,1,10,1,0,0,0,0,96,50,796,8,1,8,130,180.0
Bilal Powell,RB,28,16,0,0,0,0,0,131,722,3,74,58,388,2,1,5,139,197.0
Kenny Britt,WR,28,15,0,0,0,0,0,0,0,0,111,68,1002,5,2,5,128,196.2
Jonathan Stewart,RB,29,13,0,0,0,0,0,218,824,9,21,8,60,0,3,9,138,146.4
Kenny Stills,WR,24,16,0,0,0,0,0,0,0,0,81,42,726,9,0,9,127,168.6
Allen Robinson,WR,23,16,0,0,0,0,0,0,0,0,151,73,883,6,1,6,126,199.3
Andy Dalton,QB,29,16,364,563,4206,18,8,46,184,4,0,0,0,0,9,4,261,260.6
Coby Fleener,TE,28,16,0,0,0,0,0,1,2,1,81,50,631,3,2,4,87,137.3
Adam Thielen,WR,26,16,0,0,0,0,0,2,15,0,92,69,967,5,2,5,126,195.2
Terrance West,RB,25,16,0,0,0,0,0,193,774,5,45,34,236,1,2,6,137,171.0
Marcus Mariota,QB,23,15,276,451,3426,26,9,60,349,2,1,0,0,0,10,2,260,259.9
Tom Brady,QB,39,12,291,432,3554,28,2,28,64,0,0,0,0,0,5,0,259,258.6
Philip Rivers,QB,35,16,349,578,4386,33,21,14,35,0,0,0,0,0,9,0,259,258.9
Jameis Winston,QB,22,16,345,567,4090,28,18,53,165,1,0,0,0,0,10,1,256,256.1
Cam Newton,QB,27,15,270,510,3509,19,14,90,359,5,0,0,0,0,3,5,254,254.3
Ben Roethlisberger,QB,34,14,328,509,3819,29,13,16,14,1,0,0,0,0,8,1,252,252.2
Carson Palmer,QB,37,15,364,597,4233,26,14,14,38,0,0,0,0,0,14,0,243,243.1
Joe Flacco,QB,31,16,436,672,4317,20,15,21,58,2,0,0,0,0,5,2,242,242.5
Eli Manning,QB,35,16,377,598,4027,26,16,21,-9,0,0,0,0,0,7,0,224,224.2
Alex Smith,QB,32,15,328,489,3502,15,8,48,134,5,1,1,3,0,7,5,224,224.8
Sam Bradford,QB,29,15,395,552,3877,20,5,20,53,0,1,1,5,0,10,0,221,221.9
Carson Wentz,QB,24,16,379,607,3782,16,14,46,150,2,1,1,7,0,14,2,213,214.0
Colin Kaepernick,QB,29,12,196,331,2241,16,4,69,468,2,0,0,0,0,9,2,200,200.4
Trevor Siemian,QB,25,14,289,486,3401,18,10,28,57,0,0,0,0,0,4,0,192,191.7
Ryan Tannehill,QB,28,13,261,389,2995,19,12,39,164,1,0,0,0,0,9,1,190,190.2
Brock Osweiler,QB,26,15,301,510,2957,15,16,30,131,2,1,1,-14,0,5,2,168,169.0
Ryan Fitzpatrick,QB,34,14,228,403,2710,12,17,33,130,0,0,0,0,0,9,0,133,133.4
Ryan Mathews,RB,29,13,0,0,0,0,0,155,661,8,14,13,115,1,3,9,132,144.6
DeSean Jackson,WR,30,15,0,0,0,0,0,0,0,0,100,56,1005,4,0,4,125,180.5
Pierre Garcon,WR,30,16,0,0,0,0,0,0,0,0,114,79,1041,3,0,3,122,201.1
Brandon LaFell,WR,30,16,0,0,0,0,0,1,-2,0,107,64,862,6,0,6,122,186.0
Robert Kelley,RB,24,15,0,0,0,0,0,168,704,6,18,12,82,1,0,7,121,132.6
A.J. Green,WR,28,10,0,0,0,0,0,0,0,0,100,66,964,4,0,4,120,186.4
Willie Snead,WR,24,15,1,1,50,1,0,0,0,0,104,72,895,4,2,4,120,191.5
DeAndre Hopkins,WR,24,16,0,0,0,0,0,0,0,0,151,78,954,4,0,4,119,197.4
Sterling Shepard,WR,23,16,0,0,0,0,0,3,31,0,105,65,683,8,0,8,119,184.4
Mike Gillislee,RB,26,15,0,0,0,0,0,101,577,8,11,9,50,1,1,9,117,125.7
Marvin Jones,WR,26,15,0,0,0,0,0,1,3,0,103,55,930,4,0,4,117,172.3
Marqise Lee,WR,25,16,1,1,20,1,0,6,35,0,105,63,851,3,1,4,115,178.4
Christine Michael,RB,26,15,0,0,0,0,0,148,583,7,29,22,107,1,2,8,115,137.0
Cole Beasley,WR,27,16,0,1,0,0,0,1,7,0,98,75,833,5,0,5,114,189.0
Steve Smith Sr.,WR,37,14,0,0,0,0,0,0,0,0,101,70,799,5,0,5,114,183.9
Cameron Meredith,WR,24,14,1,1,2,1,0,1,6,0,97,66,888,4,3,4,113,179.5
Devontae Booker,RB,24,16,0,0,0,0,0,174,612,4,45,31,265,1,4,5,112,142.7
Quincy Enunwa,WR,24,16,0,0,0,0,0,1,12,0,105,58,857,4,0,4,111,168.9
Case Keenum,QB,28,10,196,322,2201,9,11,20,51,1,0,0,0,0,5,1,111,111.1
Darren Sproles,RB,33,15,0,0,0,0,0,94,438,2,71,52,427,2,1,4,111,162.5
Stefon Diggs,WR,23,13,0,0,0,0,0,3,10,0,112,84,903,3,0,3,109,193.3
Theo Riddick,RB,25,10,0,0,0,0,0,92,357,1,67,53,371,5,0,6,109,161.8
Anquan Boldin,WR,36,16,0,0,0,0,0,0,0,0,95,67,584,8,0,8,106,173.4
Taylor Gabriel,WR,25,13,0,0,0,0,0,4,51,1,50,35,579,6,0,7,105,140.0
Ted Ginn Jr.,WR,31,16,0,0,0,0,0,14,98,0,95,54,752,4,3,4,105,159.0
Tim Hightower,RB,30,16,0,0,0,0,0,133,548,4,26,22,200,1,0,5,105,126.8
Dontrelle Inman,WR,27,16,0,0,0,0,0,0,0,0,97,58,810,4,0,4,105,163.0
Jerick McKinnon,RB,24,15,0,1,0,0,0,159,539,2,53,43,255,2,0,4,105,148.4
JJ Nelson,WR,24,15,0,0,0,0,0,4,83,1,74,34,568,6,1,7,105,139.1
Rashad Jennings,RB,31,13,0,0,0,0,0,181,593,3,42,35,201,1,1,4,103,138.4
James White,RB,24,16,0,0,0,0,0,39,166,0,86,60,551,5,0,5,102,161.7
Chris Thompson,RB,26,16,0,0,0,0,0,68,356,3,62,49,349,2,2,5,99,147.5
Jordan Matthews,WR,24,14,0,0,0,0,0,0,0,0,117,73,804,3,1,3,98,171.4
DeVante Parker,WR,23,15,0,0,0,0,0,0,0,0,87,56,744,4,0,4,98,154.4
Brandon Marshall,WR,32,15,0,0,0,0,0,0,0,0,128,59,788,3,0,3,97,155.8
Ty Montgomery,RB,23,15,0,0,0,0,0,77,457,3,56,44,348,0,2,3,97,140.5
Alshon Jeffery,WR,26,12,0,0,0,0,0,0,0,0,94,52,821,2,0,2,94,146.1
Derrick Henry,RB,22,15,0,0,0,0,0,110,490,5,15,13,137,0,0,5,93,105.7
Chris Hogan,WR,29,15,0,0,0,0,0,3,9,0,58,38,680,4,1,4,91,128.9
Duke Johnson,RB,23,16,0,1,0,0,0,73,358,1,74,53,514,0,2,1,91,144.2
Mohamed Sanu,WR,27,15,0,0,0,0,0,1,5,0,81,59,653,4,1,4,90,148.8
Tavon Austin,WR,26,15,0,0,0,0,0,28,159,1,106,58,509,3,5,4,89,146.8
Randall Cobb,WR,26,13,0,0,0,0,0,10,33,0,84,60,610,4,1,4,88,148.3
T.J. Yeldon,RB,23,15,0,0,0,0,0,130,465,1,68,50,312,1,2,2,88,137.7
C.J. Anderson,RB,25,7,0,0,0,0,0,110,437,4,24,16,128,1,0,5,87,102.5
Jalen Richard,RB,23,16,0,0,0,0,0,83,491,1,39,29,194,2,0,3,87,115.5
Jack Doyle,TE,26,16,0,0,0,0,0,0,0,0,75,59,584,5,1,5,86,145.4
Travis Benjamin,WR,27,14,0,1,0,0,0,2,-3,0,75,47,677,4,5,4,85,132.4
Giovani Bernard,RB,25,10,0,0,0,0,0,91,337,2,51,39,336,1,1,3,83,122.3
Eric Ebron,TE,23,13,0,0,0,0,0,1,1,1,85,61,711,1,0,2,83,144.2
Jeremy Kerley,WR,28,16,0,0,0,0,0,0,0,0,115,64,667,3,4,3,83,146.7
Tyler Lockett,WR,24,15,0,0,0,0,0,6,114,1,66,41,597,1,0,2,83,124.1
Dennis Pitta,TE,31,16,0,0,0,0,0,0,0,0,121,86,729,2,1,2,83,168.9
Jason Witten,TE,34,16,0,0,0,0,0,0,0,0,95,69,673,3,1,3,83,152.3
Robert Turbin,RB,27,15,0,0,0,0,0,47,164,7,35,26,179,1,0,8,82,108.3
DeAngelo Williams,RB,33,9,0,0,0,0,0,98,343,4,27,18,118,2,0,6,82,100.1
Will Fuller,WR,22,14,0,0,0,0,0,1,-3,0,92,47,635,2,2,3,81,128.2
Terrance Williams,WR,27,16,0,0,0,0,0,0,0,0,61,44,594,4,1,4,81,125.4
Shaun Draughn,RB,29,16,0,0,0,0,0,74,196,4,39,29,263,2,1,6,80,108.9
C.J. Fiedorowicz,TE,25,15,0,0,0,0,0,0,0,0,89,54,559,4,1,4,80,133.9
Brian Hoyer,QB,31,6,134,200,1445,6,0,7,-2,0,0,0,0,0,3,0,80,79.6
Dwayne Allen,TE,26,14,0,0,0,0,0,0,0,0,52,35,406,6,1,6,79,113.6
Charles Clay,TE,27,15,0,0,0,0,0,0,0,0,87,57,552,4,0,4,79,136.2
Michael Floyd,WR,27,15,0,0,0,0,0,0,0,0,76,37,488,5,0,5,79,115.8
Adam Humphries,WR,23,15,0,0,0,0,0,5,18,0,83,55,622,2,3,2,78,133.0
Jacquizz Rodgers,RB,26,10,0,0,0,0,0,129,560,2,16,13,98,0,0,2,78,90.8
Eli Rogers,WR,24,13,0,0,0,0,0,1,6,0,66,48,594,3,2,3,78,126.0
Cody Kessler,QB,23,9,128,195,1380,6,2,11,18,0,0,0,0,0,4,0,77,77.0
Gary Barnidge,TE,31,16,0,0,0,0,0,0,0,0,82,55,612,2,0,2,75,130.2
Chris Ivory,RB,28,11,0,0,0,0,0,117,439,3,28,20,186,0,5,3,75,94.5
Zach Zenner,RB,25,14,0,0,0,0,0,88,334,4,23,18,196,0,1,4,75,93.0
Brian Quick,WR,27,16,0,0,0,0,0,0,0,0,77,41,564,3,0,3,74,115.4
Seth Roberts,WR,25,16,0,0,0,0,0,0,0,0,77,38,397,5,0,5,74,111.7
Robby Anderson,WR,23,16,0,0,0,0,0,3,42,0,78,42,587,2,1,2,73,114.9
Blaine Gabbert,QB,27,6,91,160,925,5,6,40,173,2,1,1,-16,0,0,2,73,73.7
Zach Miller,TE,32,10,0,0,0,0,0,0,0,0,64,47,486,4,0,4,73,119.6
Donte Moncrief,WR,23,9,0,0,0,0,0,1,-1,0,56,30,307,7,0,7,73,102.6
Kenneth Dixon,RB,22,12,0,0,0,0,0,88,382,2,41,30,162,1,1,3,72,102.4
Rob Gronkowski,TE,27,8,0,0,0,0,0,0,0,0,38,25,540,3,0,3,72,97.0
Doug Martin,RB,27,8,0,0,0,0,0,144,421,3,16,14,134,0,1,3,72,85.5
Matt Barkley,QB,26,7,129,216,1611,8,14,7,2,0,1,1,2,1,4,1,71,71.8
Tyler Boyd,WR,22,16,0,0,0,0,0,4,58,0,81,54,603,1,1,1,70,124.1
Vernon Davis,TE,32,16,0,0,0,0,0,0,0,0,59,44,583,2,0,2,70,114.3
Damien Williams,RB,24,15,0,0,0,0,0,35,115,3,32,23,249,3,1,6,70,93.4
Tyler Eifert,TE,26,8,0,0,0,0,0,0,0,0,47,29,394,5,0,5,69,98.4
Cordarrelle Patterson,WR,25,16,0,0,0,0,0,7,43,0,70,52,453,2,2,3,68,119.6
Breshad Perriman,WR,23,16,0,0,0,0,0,1,2,0,66,33,499,3,0,3,68,101.1
DeAndre Washington,RB,23,14,0,0,0,0,0,87,467,2,23,17,115,0,1,2,68,85.2
Robert Woods,WR,24,13,0,0,0,0,0,1,6,0,76,51,613,1,0,1,68,118.9
Matt Jones,RB,23,7,0,0,0,0,0,99,460,3,8,8,73,0,3,3,67,75.3
Phillip Dorsett,WR,23,15,0,0,0,0,0,2,10,0,59,33,528,2,1,2,66,98.8
Robert Griffin III,QB,26,5,87,147,886,2,3,31,190,2,0,0,0,0,4,2,66,66.4
Allen Hurns,WR,25,11,0,0,0,0,0,0,0,0,76,35,477,3,1,3,66,100.7
Jeremy Maclin,WR,28,12,0,1,0,0,0,1,-1,0,76,44,536,2,0,2,66,109.5
Charcandrick West,RB,25,15,0,0,0,0,0,88,293,1,34,28,188,2,0,3,66,94.1
John Brown,WR,26,15,0,0,0,0,0,1,10,0,73,39,517,2,1,2,65,103.7
Malcolm Mitchell,WR,24,14,0,0,0,0,0,0,0,0,48,32,401,4,0,4,64,96.1
Tajae Sharpe,WR,22,16,0,0,0,0,0,1,1,0,83,41,522,2,0,2,64,105.3
Victor Cruz,WR,30,15,0,0,0,0,0,0,0,0,72,39,586,1,1,1,63,101.6
Devin Funchess,WR,22,15,0,0,0,0,0,0,0,0,58,23,371,4,0,4,63,86.1
Vance McDonald,TE,26,11,0,0,0,0,0,0,0,0,45,24,391,4,0,4,63,87.1
Thomas Rawls,RB,23,9,0,0,0,0,0,109,349,3,17,13,96,0,0,3,63,75.5
Paul Perkins,RB,22,14,0,0,0,0,0,112,456,0,24,15,162,0,1,0,62,76.8
Marquise Goodwin,WR,26,15,0,0,0,0,0,0,0,0,68,29,431,3,0,3,61,90.1
Kendall Wright,WR,27,11,0,0,0,0,0,1,15,0,42,29,416,3,0,3,61,90.1
Corey Coleman,WR,22,10,0,0,0,0,0,2,10,0,73,33,413,3,0,3,60,93.3
Lance Kendricks,TE,28,16,0,0,0,0,0,0,0,0,87,50,499,2,1,2,60,109.9
Rex Burkhead,RB,26,16,0,0,0,0,0,74,344,2,20,17,145,0,1,2,59,75.9
Sammie Coates,WR,23,14,0,0,0,0,0,4,14,0,49,21,435,2,0,2,57,77.9
Jermaine Kearse,WR,26,16,0,0,0,0,0,0,0,0,89,41,510,1,0,1,57,98.0
Matt Moore,QB,32,4,55,87,721,8,3,1,-1,0,0,0,0,0,1,0,55,54.7
Eddie Royal,WR,30,9,0,0,0,0,0,0,0,0,43,33,369,2,2,3,55,87.9
Sammy Watkins,WR,23,8,0,0,0,0,0,0,0,0,52,28,430,2,0,2,55,83.0
Travaris Cadet,RB,27,15,0,0,0,0,0,4,19,0,54,40,281,4,0,4,54,94.0
Ryan Griffin,TE,26,16,0,0,0,0,0,0,0,0,74,50,442,2,1,2,54,104.2
Jeremy Langford,RB,25,12,0,0,0,0,0,62,200,4,27,19,142,0,2,4,54,73.2
Clive Walford,TE,25,15,0,0,0,0,0,0,0,0,52,33,359,3,0,3,54,86.9
Chris Conley,WR,24,16,0,0,0,0,0,0,0,0,69,44,530,0,1,0,53,97.0
Jared Goff,QB,22,7,112,205,1089,5,7,8,16,1,0,0,0,0,5,1,53,53.2
Nelson Agholor,WR,23,15,0,0,0,0,0,5,14,0,69,36,365,2,1,2,52,87.9
Jesse James,TE,22,16,0,0,0,0,0,0,0,0,60,39,338,3,0,3,52,90.8
Josh McCown,QB,37,5,90,165,1100,6,6,7,21,0,0,0,0,0,7,0,52,52.1
Julius Thomas,TE,28,9,0,0,0,0,0,0,0,0,51,30,281,4,0,4,52,82.1
Garrett Celek,TE,28,16,0,0,0,0,0,0,0,0,50,29,350,3,2,3,51,80.0
Dorial Green-Beckham,WR,23,15,0,0,0,0,0,0,0,0,74,36,392,2,0,2,51,87.2
Jermaine Gresham,TE,28,16,0,0,0,0,0,0,0,0,61,37,391,2,1,2,51,88.1
Albert Wilson,WR,24,16,0,0,0,0,0,2,50,1,51,31,279,2,0,3,51,81.9
Alfred Blue,RB,25,14,0,0,0,0,0,100,420,1,16,12,40,0,2,1,50,62.0
Andrew Hawkins,WR,30,16,0,0,0,0,0,2,0,0,54,33,324,3,0,3,50,83.4
Dion Sims,TE,25,14,0,0,0,0,0,0,0,0,35,26,256,4,0,4,50,75.6
Jay Cutler,QB,33,5,81,137,1059,4,5,5,24,0,0,0,0,0,6,0,47,46.8
Russell Shepard,WR,26,14,0,0,0,0,0,1,9,0,40,23,341,2,0,2,47,70.0
Wendell Smallwood,RB,22,13,0,0,0,0,0,77,312,1,13,6,55,0,1,2,47,52.7
Fozzy Whittaker,RB,27,16,0,0,0,0,0,57,265,0,33,25,226,0,1,0,47,72.1
Danny Amendola,WR,31,12,0,0,0,0,0,0,0,0,29,23,243,4,3,4,46,69.3
Brandon Coleman,WR,24,16,0,0,0,0,0,0,0,0,38,26,281,3,0,3,46,72.1
Will Tye,TE,25,16,0,0,0,0,0,0,0,0,70,48,395,1,0,1,46,93.5
Austin Hooper,TE,22,14,0,0,0,0,0,0,0,0,27,19,271,3,0,3,45,64.1
Jamize Olawale,RB,27,16,0,0,0,0,0,17,47,2,14,12,227,1,0,3,45,57.4
Torrey Smith,WR,27,12,0,0,0,0,0,0,0,0,49,20,267,3,0,3,45,64.7
Justin Hardy,WR,25,16,0,0,0,0,0,0,0,0,31,21,203,4,0,4,44,65.3
C.J. Prosise,RB,22,6,0,0,0,0,0,30,172,1,19,17,208,0,0,1,44,61.0
Charles Sims,RB,26,7,0,0,0,0,0,51,149,1,32,24,190,1,1,2,44,67.9
Justin Hunter,WR,25,13,0,0,0,0,0,0,0,0,23,10,189,4,0,4,43,52.9
Jared Cook,TE,29,10,0,0,0,0,0,0,0,0,51,30,377,1,1,1,42,71.7
Justin Forsett,RB,31,9,0,0,0,0,0,87,291,1,27,20,85,0,2,1,42,61.6
Kenyan Drake,RB,22,16,0,0,0,0,0,33,179,2,10,9,46,0,1,3,41,49.5
John Kuhn,RB,34,16,0,0,0,0,0,18,37,4,20,16,70,1,0,5,41,56.7
Quinton Patton,WR,26,14,0,0,0,0,0,0,0,0,63,37,408,0,1,0,41,77.8
Brice Butler,WR,26,16,0,0,0,0,0,0,0,0,32,16,219,3,0,3,40,55.9
James Starks,RB,30,9,0,0,0,0,0,63,145,0,25,19,134,2,1,2,40,58.9
Kamar Aiken,WR,27,16,0,0,0,0,0,0,0,0,50,29,328,1,0,1,39,67.8
Trey Burton,TE,25,15,0,0,0,0,0,0,0,0,60,37,327,1,0,1,39,75.7
Eddie Lacy,RB,26,5,0,0,0,0,0,71,360,0,7,4,28,0,0,0,39,42.8
Richard Rodgers,TE,24,16,0,0,0,0,0,0,0,0,47,30,271,2,0,2,39,69.1
Jacob Tamme,TE,31,8,0,0,0,0,0,0,0,0,31,22,210,3,0,3,39,61.0
Dwayne Washington,RB,22,12,0,0,0,0,0,90,265,1,15,10,62,0,0,1,39,48.7
Josh Bellamy,WR,27,16,0,0,0,0,0,4,37,0,38,19,282,1,0,1,38,56.9
Dion Lewis,RB,26,7,0,0,0,0,0,64,283,0,24,17,94,0,1,0,38,54.7
Aaron Ripkowski,RB,24,16,0,0,0,0,0,34,150,2,10,9,46,1,0,3,38,46.6
Levine Toilolo,TE,25,16,0,0,0,0,0,0,0,0,19,13,264,2,0,2,38,51.4
Kyle Juszczyk,RB,25,16,0,0,0,0,0,5,22,1,49,37,266,0,0,1,37,73.8
Alfred Morris,RB,28,14,0,0,0,0,0,69,243,2,6,3,11,0,0,2,37,40.4
Ladarius Green,TE,26,6,0,0,0,0,0,0,0,0,34,18,304,1,0,1,36,54.4
Erik Swoope,TE,24,16,0,0,0,0,0,0,0,0,22,15,297,1,0,1,36,50.7
Jimmy Garoppolo,QB,25,6,43,63,502,4,0,10,6,0,1,1,3,0,2,0,35,36.0
Cobi Hamilton,WR,26,11,0,0,0,0,0,0,0,0,28,17,234,2,0,2,35,52.4
Darrius Heyward-Bey,WR,29,10,0,0,0,0,0,1,60,1,19,6,114,2,0,3,35,41.4
Paul Richardson,WR,24,15,0,0,0,0,0,1,5,0,36,21,288,1,0,1,35,56.3
Andre Roberts,WR,28,16,0,0,0,0,0,0,0,0,25,14,188,1,2,3,35,48.8
Deonte Thompson,WR,27,16,0,0,0,0,0,0,0,0,36,22,249,2,1,2,35,56.9
Landry Jones,QB,27,8,53,86,558,4,2,6,-4,0,0,0,0,0,0,0,34,33.9
Bryan Walters,WR,29,10,0,0,0,0,0,1,4,0,34,24,231,2,1,2,34,57.5
Geronimo Allison,WR,22,10,0,0,0,0,0,0,0,0,22,12,202,2,0,2,32,44.2
Corey Brown,WR,25,16,0,0,0,0,0,2,6,0,53,27,276,1,1,1,32,59.2
Corey Grant,RB,25,11,0,0,0,0,0,32,164,1,7,4,35,1,0,2,32,35.9
Bryce Petty,QB,25,6,75,133,809,3,7,5,19,0,0,0,0,0,1,0,32,32.3
Peyton Barber,RB,22,15,0,0,0,0,0,55,223,1,6,5,28,0,0,1,31,36.1
Eric Decker,WR,29,3,0,0,0,0,0,0,0,0,21,9,194,2,0,2,31,40.4
Rod Streater,WR,28,16,0,0,0,0,0,0,0,0,27,18,191,2,0,2,31,49.1
