Player,Position16,Age16,Games16,Pass Cmp16,Pass Att16,Pass Yds16,Pass TD16,Pass Int16,Rush Att16,Rush Yds16,Rush TD16,Rec Tgt16,Rec16,Rec Yds16,Rec TD16,Fmb16,Tot TD16,FantPt16,PPR16
David Johnson,RB,25,16,0,0,0,0,0,293,1239,16,120,80,879,4,5,20,328,407.8
Ezekiel Elliott,RB,21,15,0,0,0,0,0,322,1631,15,39,32,363,1,5,16,293,325.4
Aaron Rodgers,QB,33,16,401,610,4428,40,7,67,369,4,0,0,0,0,8,4,380,380.0
LeSean McCoy,RB,28,15,0,0,0,0,0,234,1267,13,57,50,356,1,3,14,248,298.3
Le'Veon Bell,RB,24,12,0,1,0,0,0,261,1268,7,94,75,616,2,4,9,242,317.4
DeMarco Murray,RB,28,16,1,2,10,1,0,293,1287,9,67,53,377,3,3,12,241,293.8
Devonta Freeman,RB,24,16,0,0,0,0,0,227,1079,11,65,54,462,2,1,13,230,284.1
LeGarrette Blount,RB,30,16,0,0,0,0,0,299,1161,18,8,7,38,0,2,18,226,232.9
Matt Ryan,QB,31,16,373,534,4944,38,7,35,117,0,0,0,0,0,4,0,347,347.5
Mike Evans,WR,23,16,0,0,0,0,0,0,0,0,173,96,1321,12,0,12,208,304.1
Jordy Nelson,WR,31,16,0,0,0,0,0,0,0,0,152,97,1257,14,1,14,208,304.7
Antonio Brown,WR,28,15,0,0,0,0,0,3,9,0,154,106,1284,12,0,12,201,307.3
Melvin Gordon,RB,23,13,0,0,0,0,0,254,997,10,57,41,419,2,2,12,210,250.6
Drew Brees,QB,37,16,471,673,5208,37,15,23,20,2,0,0,0,0,5,2,332,332.3
Odell Beckham Jr.,WR,24,16,0,0,0,0,0,1,9,0,169,101,1367,10,3,10,196,296.6
Jordan Howard,RB,22,15,0,0,0,0,0,252,1313,6,50,29,298,1,2,7,201,230.1
Mark Ingram,RB,27,16,0,0,0,0,0,205,1043,6,58,46,319,4,2,10,196,242.2
T.Y. Hilton,WR,27,16,0,0,0,0,0,0,0,0,155,91,1448,6,0,6,183,273.8
Jay Ajayi,RB,23,15,0,0,0,0,0,260,1272,8,35,27,151,0,4,8,188,215.3
Travis Kelce,TE,27,16,0,0,0,0,0,1,-5,0,117,85,1125,4,0,4,138,223.0
Julio Jones,WR,27,14,0,0,0,0,0,0,0,0,129,83,1409,6,0,6,177,259.9
Andrew Luck,QB,27,15,346,545,4240,31,13,64,341,2,0,0,0,0,6,2,308,307.7
Davante Adams,WR,24,16,0,0,0,0,0,0,0,0,121,75,997,12,2,12,172,246.7
Brandin Cooks,WR,23,16,0,0,0,0,0,6,30,0,117,78,1173,8,1,8,168,246.3
Greg Olsen,TE,31,16,0,0,0,0,0,0,0,0,129,80,1073,3,0,3,127,207.3
Kirk Cousins,QB,28,16,406,606,4917,25,12,34,96,4,0,0,0,0,9,4,300,300.3
Frank Gore,RB,33,16,0,0,0,0,0,263,1025,4,47,38,277,4,2,8,176,214.2
Kyle Rudolph,TE,27,16,0,0,0,0,0,0,0,0,132,83,840,7,0,7,126,209.0
Latavius Murray,RB,26,14,0,0,0,0,0,195,788,12,43,33,264,0,2,12,175,208.2
Michael Thomas,WR,23,15,0,0,0,0,0,0,0,0,121,92,1137,9,2,9,164,255.7
Jimmy Graham,TE,30,16,0,0,0,0,0,1,0,0,95,65,923,6,2,6,124,189.3
Delanie Walker,TE,32,15,0,0,0,0,0,2,11,0,102,65,800,7,1,7,123,188.1
Doug Baldwin,WR,28,16,1,1,15,1,0,3,2,0,125,94,1128,7,1,7,160,253.6
Tyreek Hill,WR,22,16,0,0,0,0,0,24,267,3,83,61,593,6,4,12,156,217.0
Isaiah Crowell,RB,23,16,0,0,0,0,0,198,952,7,53,40,319,0,2,7,165,205.1
Carlos Hyde,RB,26,13,0,0,0,0,0,217,988,6,33,27,163,3,5,9,165,192.1
Cameron Brate,TE,25,15,0,0,0,0,0,0,0,0,81,57,660,8,1,8,114,171.0
Dak Prescott,QB,23,16,311,459,3667,23,4,57,282,6,0,0,0,0,9,6,287,286.9
Martellus Bennett,TE,29,16,0,0,0,0,0,2,10,0,73,55,701,7,0,7,113,168.1
Michael Crabtree,WR,29,16,0,0,0,0,0,0,0,0,145,89,1003,8,2,8,150,239.3
Spencer Ware,RB,25,14,0,0,0,0,0,214,921,3,42,33,447,2,4,5,161,193.8
Amari Cooper,WR,22,16,0,0,0,0,0,1,0,0,132,83,1153,5,2,5,149,232.3
Lamar Miller,RB,25,14,0,0,0,0,0,268,1073,5,39,31,188,1,2,6,160,191.1
Tevin Coleman,RB,23,13,0,0,0,0,0,118,520,8,40,31,421,3,1,11,160,191.1
Tyrell Williams,WR,24,16,0,0,0,0,0,0,0,0,119,69,1059,7,0,7,148,216.9
Rishard Matthews,WR,27,16,0,0,0,0,0,0,0,0,108,65,945,9,1,9,147,211.5
Matthew Stafford,QB,28,16,388,594,4327,24,10,37,207,2,1,0,0,0,3,2,280,279.8
Jeremy Hill,RB,24,15,0,0,0,0,0,222,839,9,27,21,174,0,0,9,155,176.3
Zach Ertz,TE,26,14,0,0,0,0,0,0,0,0,106,78,816,4,0,4,106,183.6
Todd Gurley,RB,22,16,0,0,0,0,0,278,885,6,58,43,327,0,2,6,155,198.2
Matt Forte,RB,31,14,0,0,0,0,0,218,813,7,43,30,263,1,1,8,154,183.6
Jordan Reed,TE,26,12,0,0,0,0,0,0,0,0,89,66,686,6,1,6,103,168.6
Jarvis Landry,WR,24,16,0,1,0,0,0,5,17,0,131,94,1136,4,2,4,137,231.3
Larry Fitzgerald,WR,33,16,0,1,0,0,0,2,5,0,150,107,1023,6,2,6,137,243.8
Tyrod Taylor,QB,27,15,269,436,3023,17,6,95,580,6,0,0,0,0,4,6,271,270.9
Terrelle Pryor,WR,27,16,5,9,41,0,0,8,21,1,140,77,1007,4,1,5,136,213.4
Demaryius Thomas,WR,29,16,0,0,0,0,0,0,0,0,144,90,1083,5,2,5,136,226.3
Blake Bortles,QB,24,16,368,625,3905,23,16,58,359,3,1,1,20,1,8,4,270,271.1
