Player,Position19,Age19,Games19,Pass Cmp19,Pass Att19,Pass Yds19,Pass TD19,Pass Int19,Rush Att19,Rush Yds19,Rush TD19,Rec Tgt19,Rec19,Rec Yds19,Rec TD19,Fmb19,Tot TD19,FantPt19,PPR19
Christian McCaffrey,RB,23,16,0,2,0,0,0,287,1387,15,142,116,1005,4,1,19,355,471.2
Lamar Jackson,QB,22,15,265,401,3127,36,6,176,1206,7,0,0,0,0,9,7,416,415.7
Derrick Henry ,RB,25,15,0,0,0,0,0,303,1540,16,24,18,206,2,5,18,277,294.6
Aaron Jones,RB,25,16,0,0,0,0,0,236,1084,16,68,49,474,3,3,19,266,314.8
Ezekiel Elliott,RB,24,16,0,0,0,0,0,301,1357,12,71,54,420,2,3,14,258,311.7
Dalvin Cook,RB,24,14,0,0,0,0,0,250,1135,13,63,53,519,0,4,13,239,292.4
Michael Thomas,WR,26,16,0,0,0,0,0,1,-9,0,185,149,1725,9,1,9,226,374.6
Travis Kelce,TE,30,16,0,0,0,0,0,1,4,1,136,97,1229,5,1,6,157,254.3
Nick Chubb,RB,24,16,0,0,0,0,0,298,1494,8,49,36,278,0,3,8,219,255.2
Austin Ekeler,RB,24,16,0,0,0,0,0,132,557,3,108,92,993,8,3,11,217,309.0
Mark Ingram,RB,30,15,0,0,0,0,0,202,1018,10,29,26,247,5,2,15,217,242.5
Dak Prescott,QB,26,16,388,596,4902,30,11,52,277,3,0,0,0,0,6,3,338,337.8
Mark Andrews,TE,24,15,0,0,0,0,0,0,0,0,98,64,852,10,2,10,143,207.2
Russell Wilson,QB,31,16,341,516,4110,31,5,75,342,3,0,0,0,0,8,3,329,328.6
Chris Godwin,WR,23,14,0,0,0,0,0,1,8,0,121,86,1333,9,0,9,190,276.1
George Kittle,TE,26,14,0,0,0,0,0,5,22,0,107,85,1053,5,1,5,138,222.5
Deshaun Watson,QB,24,15,333,495,3852,26,12,82,413,7,1,1,6,1,10,8,320,321.0
Chris Carson,RB,25,15,0,0,0,0,0,278,1230,7,47,37,266,2,7,9,196,232.6
Darren Waller,TE,27,16,0,0,0,0,0,2,5,0,117,90,1145,3,1,3,131,221.0
Kenny Golladay,WR,26,16,0,0,0,0,0,0,0,0,116,65,1190,11,1,11,183,248.0
Saquon Barkley,RB,22,13,0,0,0,0,0,217,1003,6,73,52,438,2,1,8,192,244.1
Zach Ertz,TE,29,15,0,0,0,0,0,0,0,0,135,88,916,6,1,6,128,215.6
Joe Mixon,RB,23,16,0,0,0,0,0,278,1137,5,45,35,287,3,0,8,190,225.4
Todd Gurley,RB,25,15,0,0,0,0,0,223,857,12,49,31,207,2,3,14,188,219.4
Jared Cook,TE,32,14,0,0,0,0,0,0,0,0,65,43,705,9,0,9,125,167.5
Cooper Kupp,WR,26,16,0,1,0,0,0,2,4,0,134,94,1161,10,3,10,177,270.5
Julio Jones,WR,30,15,0,0,0,0,0,2,-3,0,157,99,1394,6,1,6,175,274.1
DeVante Parker,WR,26,16,0,0,0,0,0,0,0,0,128,72,1202,9,0,9,174,246.2
Leonard Fournette,RB,24,15,0,0,0,0,0,265,1152,3,100,76,522,0,1,3,183,259.4
Jameis Winston,QB,25,16,380,626,5109,33,30,59,250,1,0,0,0,0,12,1,305,305.4
Austin Hooper,TE,25,13,0,0,0,0,0,0,0,0,97,75,787,6,0,6,117,191.7
Amari Cooper,WR,25,16,0,0,0,0,0,1,6,0,119,79,1189,8,0,8,168,246.5
Mike Evans,WR,26,13,0,0,0,0,0,0,0,0,118,67,1157,8,0,8,166,232.7
A.J. Brown,WR,22,16,0,0,0,0,0,3,60,1,84,52,1051,8,1,9,165,217.1
DeAndre Hopkins,WR,27,15,1,2,6,1,1,2,18,0,150,104,1165,7,0,7,165,268.5
Josh Jacobs,RB,21,13,0,0,0,0,0,242,1150,7,27,20,166,0,1,7,172,191.6
Keenan Allen,WR,27,16,0,0,0,0,0,3,16,0,149,104,1199,6,0,6,158,261.5
