Player,Position19,Age19,Games19,Pass Cmp19,Pass Att19,Pass Yds19,Pass TD19,Pass Int19,Rush Att19,Rush Yds19,Rush TD19,Rec Tgt19,Rec19,Rec Yds19,Rec TD19,Fmb19,Tot TD19,FantPt19,PPR19
Miles Sanders,RB,22,16,0,0,0,0,0,179,818,3,63,50,509,3,2,6,169,218.7
Allen Robinson,WR,26,16,0,0,0,0,0,1,2,0,154,98,1147,7,0,7,157,254.9
Julian Edelman,WR,33,16,2,2,47,1,0,8,27,0,153,100,1117,6,3,6,156,256.3
Alvin Kamara,RB,24,14,1,1,13,0,0,171,797,5,97,81,533,1,4,6,168,248.5
Marlon Mack,RB,23,14,0,0,0,0,0,247,1091,8,17,14,82,0,0,8,167,181.3
Jarvis Landry,WR,27,16,0,0,0,0,0,1,10,0,138,83,1174,6,0,6,154,237.4
Josh Allen,QB,23,16,271,461,3089,20,9,109,510,9,0,0,0,0,14,9,289,288.6
Tyler Lockett,WR,27,16,0,0,0,0,0,4,-5,0,110,82,1057,8,1,8,153,235.2
DJ Chark,WR,23,15,0,0,0,0,0,2,20,0,118,73,1008,8,0,8,153,225.8
Kenyan Drake,RB,25,14,0,0,0,0,0,170,817,8,68,50,345,0,2,8,164,214.2
Patrick Mahomes,QB,24,14,319,484,4031,26,5,43,218,2,0,0,0,0,3,2,287,287.0
Phillip Lindsay,RB,25,16,0,0,0,0,0,224,1011,7,48,35,196,0,0,7,163,197.7
Kyler Murray,QB,22,16,349,542,3722,20,12,93,544,4,0,0,0,0,5,4,285,285.3
Courtland Sutton,WR,24,16,1,1,38,0,0,3,17,0,124,72,1112,6,2,6,150,222.4
Stefon Diggs,WR,26,15,0,1,0,0,0,5,61,0,94,63,1130,6,4,6,149,212.1
John Brown,WR,29,15,1,1,28,1,0,2,7,0,115,72,1060,6,0,6,148,219.8
Hunter Henry,TE,25,12,0,0,0,0,0,0,0,0,76,55,652,5,1,5,95,150.2
Michael Gallup,WR,23,14,0,0,0,0,0,0,0,0,113,66,1107,6,0,6,147,212.7
Aaron Rodgers,QB,36,16,353,569,4002,26,4,46,183,1,0,0,0,0,4,1,278,278.4
Tyler Higbee,TE,26,15,0,0,0,0,0,0,0,0,89,69,734,3,0,3,91,160.4
D.J. Moore,WR,22,15,0,0,0,0,0,6,40,0,135,87,1175,4,2,4,144,230.5
Robert Woods,WR,27,15,0,0,0,0,0,17,115,1,139,90,1134,2,0,3,143,232.9
Carson Wentz,QB,27,16,388,607,4039,27,7,62,243,1,0,0,0,0,16,1,276,275.9
Raheem Mostert,RB,27,16,0,0,0,0,0,137,772,8,22,14,180,2,2,10,151,165.2
Dallas Goedert,TE,24,15,0,0,0,0,0,0,0,0,87,58,607,5,2,5,87,144.7
Le'Veon Bell,RB,27,15,0,0,0,0,0,245,789,3,78,66,461,1,1,4,149,215.0
Mike Gesicki,TE,24,16,0,0,0,0,0,0,0,0,89,51,570,5,1,5,85,136.0
Calvin Ridley,WR,25,13,0,0,0,0,0,2,34,0,93,63,866,7,0,7,134,197.0
Terry McLaurin,WR,24,14,0,0,0,0,0,0,0,0,93,58,919,7,0,7,134,191.9
David Montgomery,RB,22,16,0,0,0,0,0,242,889,6,35,25,185,1,2,7,145,170.4
Tyler Boyd,WR,25,16,0,0,0,0,0,4,23,0,148,90,1046,5,2,5,133,222.9
Matt Ryan,QB,34,15,408,616,4466,26,14,34,147,1,0,0,0,0,9,1,267,267.3
Deebo Samuel,WR,23,15,0,0,0,0,0,14,159,3,81,57,802,3,2,6,132,189.1
Marvin Jones,WR,29,13,0,0,0,0,0,2,0,0,91,62,779,9,0,9,132,193.9
Carlos Hyde,RB,29,16,0,0,0,0,0,245,1070,6,16,10,42,0,4,6,143,153.2
Tyreek Hill,WR,25,12,0,0,0,0,0,8,23,0,89,58,860,7,0,7,130,188.3
Davante Adams,WR,27,12,0,0,0,0,0,0,0,0,127,83,997,5,2,5,130,212.7
Michael Burton,,27,10,0,0,0,0,0,0,0,0,1,0,0,0,,0,,
Jamize Olawale,,30,16,0,0,0,0,0,0,0,0,2,0,0,0,,0,,
D.K. Metcalf,WR,22,16,0,0,0,0,0,2,11,0,100,58,900,7,3,7,129,187.1
Sony Michel,RB,24,16,0,0,0,0,0,247,912,7,20,12,94,0,2,7,141,152.6
Tom Brady,QB,42,16,373,613,4057,24,8,26,34,3,0,0,0,0,4,3,264,263.7
Jared Goff,QB,25,16,394,626,4638,22,16,33,40,2,0,0,0,0,10,2,248,247.5
Jimmy Garoppolo,QB,28,16,329,476,3978,27,13,46,62,1,0,0,0,0,10,1,247,247.3
Derek Carr,QB,28,16,361,513,4054,21,8,27,82,2,0,0,0,0,7,2,244,244.4
Kirk Cousins,QB,31,15,307,444,3603,26,6,31,63,1,1,0,0,0,10,1,244,244.4
Ryan Fitzpatrick,QB,37,15,311,502,3529,20,13,54,243,4,0,0,0,0,9,4,241,241.5
Philip Rivers,QB,38,16,390,591,4615,23,20,12,29,0,0,0,0,0,8,0,236,235.5
Baker Mayfield,QB,24,16,317,534,3827,22,21,28,141,3,0,0,0,0,6,3,229,229.2
Gardner Minshew II,QB,23,14,285,470,3271,21,6,67,344,0,0,0,0,0,12,0,229,229.2
Drew Brees,QB,40,11,281,378,2979,27,4,9,-4,1,0,0,0,0,0,1,225,224.8
Ryan Tannehill,QB,31,12,201,286,2742,22,6,43,185,4,0,0,0,0,5,4,224,224.2
Jacoby Brissett,QB,27,15,272,447,2942,18,6,56,228,4,1,1,2,0,7,4,217,217.7
Daniel Jones,QB,22,13,284,459,3027,24,12,45,279,2,0,0,0,0,19,2,215,215.0
Andy Dalton,QB,32,13,314,528,3494,16,14,32,73,4,1,1,-4,0,8,4,203,203.7
Mitchell Trubisky,QB,25,15,326,516,3138,17,10,48,193,2,0,0,0,0,5,2,203,202.8
Sam Darnold,QB,22,13,273,441,3024,19,13,33,62,2,0,0,0,0,11,2,189,189.2
Kyle Allen,QB,23,13,303,489,3322,17,16,32,106,2,0,0,0,0,13,2,177,177.5
Matthew Stafford,QB,31,8,187,291,2499,19,5,20,66,0,0,0,0,0,5,0,167,166.6
Devonta Freeman,RB,27,14,0,0,0,0,0,184,656,2,70,59,410,4,3,6,139,197.6
Melvin Gordon,RB,26,12,0,0,0,0,0,162,612,8,55,42,296,1,4,9,139,180.8
Ronald Jones II,RB,22,16,0,0,0,0,0,172,724,6,40,31,309,0,3,6,135,166.3
Adrian Peterson,RB,34,15,0,0,0,0,0,211,898,5,23,17,142,0,3,5,130,147.0
James White,RB,27,15,1,1,35,0,0,67,263,1,95,72,645,5,1,6,128,200.2
Odell Beckham Jr.,WR,27,16,1,2,20,0,0,3,10,0,133,74,1035,4,1,4,127,201.3
Emmanuel Sanders,WR,32,17,1,1,35,1,0,0,0,0,97,66,869,5,0,5,124,190.3
Latavius Murray,RB,29,16,0,0,0,0,0,146,637,5,43,34,235,1,0,6,123,157.2
Darius Slayton,WR,22,14,0,0,0,0,0,0,0,0,84,48,740,8,0,8,122,170.0
Jamison Crowder,WR,26,16,0,0,0,0,0,1,4,0,122,78,833,6,0,6,120,197.7
Devin Singletary,RB,22,12,0,0,0,0,0,151,775,2,41,29,194,2,4,4,119,147.9
Cole Beasley,WR,30,15,0,0,0,0,0,0,0,0,106,67,778,6,0,6,118,184.8
Curtis Samuel,WR,23,16,0,0,0,0,0,19,130,1,105,54,627,6,0,7,118,171.7
Tevin Coleman,RB,26,14,0,0,0,0,0,137,544,6,30,21,180,1,0,7,114,135.4
James Conner,RB,24,10,0,0,0,0,0,116,464,4,38,34,251,3,1,7,112,145.5
Mike Williams,WR,25,15,0,0,0,0,0,1,2,0,90,49,1001,2,0,2,112,161.3
Damien Williams,RB,27,11,0,0,0,0,0,111,498,5,37,30,213,2,1,7,111,141.1
Robby Anderson,WR,26,16,0,0,0,0,0,1,4,0,96,52,779,5,1,5,110,162.3
Chris Conley,WR,27,16,0,0,0,0,0,0,0,0,90,47,775,5,0,5,110,156.5
Duke Johnson,RB,26,16,0,0,0,0,0,83,410,2,62,44,410,3,1,5,110,154.0
Mason Rudolph,QB,24,10,176,283,1765,13,9,21,42,0,0,0,0,0,4,0,109,108.8
Jamaal Williams,RB,24,14,0,0,0,0,0,107,460,1,45,39,253,5,0,6,107,146.3
David Johnson,RB,28,13,0,0,0,0,0,94,345,2,47,36,370,4,1,6,106,141.5
Diontae Johnson,WR,23,16,0,0,0,0,0,4,41,0,92,59,680,5,5,6,104,163.1
Case Keenum,QB,31,10,160,247,1707,11,5,9,12,1,0,0,0,0,6,1,103,103.5
Golden Tate,WR,31,11,0,0,0,0,0,1,16,0,85,49,676,6,1,6,103,152.2
Larry Fitzgerald,WR,36,16,0,0,0,0,0,0,0,0,109,75,804,4,1,4,102,177.4
Breshad Perriman,WR,26,14,0,0,0,0,0,2,16,0,69,36,645,6,0,6,102,138.1
Peyton Barber,RB,25,16,0,0,0,0,0,154,470,6,24,16,115,1,1,7,101,116.5
Jordan Howard,RB,25,10,0,0,0,0,0,119,525,6,14,10,69,1,0,7,101,111.4
Tyrell Williams,WR,27,14,0,0,0,0,0,0,0,0,64,42,651,6,0,6,101,143.1
Marquise Brown,WR,22,14,0,0,0,0,0,0,0,0,71,46,584,7,0,7,100,146.4
Randall Cobb,WR,29,15,0,1,0,0,0,3,11,0,83,55,828,3,2,3,100,154.9
Christian Kirk,WR,23,13,0,0,0,0,0,10,93,0,108,68,709,3,0,3,100,168.2
Royce Freeman,RB,23,16,0,0,0,0,0,132,496,3,50,43,256,1,0,4,99,142.2
Mecole Hardman,WR,21,16,0,0,0,0,0,4,17,0,41,26,538,6,2,7,94,119.5
Zach Pascal,WR,25,16,0,1,0,0,0,2,16,0,72,41,607,5,0,5,94,135.3
LeSean McCoy,RB,31,13,0,0,0,0,0,101,465,4,34,28,181,1,3,5,91,118.6
Dede Westbrook,WR,26,15,0,0,0,0,0,5,27,0,101,66,660,3,1,3,91,156.7
Teddy Bridgewater,QB,27,9,133,196,1384,9,2,28,31,0,0,0,0,0,1,0,90,90.5
James Washington,WR,23,15,0,0,0,0,0,0,0,0,80,44,735,3,1,3,90,133.5
Sammy Watkins,WR,26,14,0,0,0,0,0,2,12,0,90,52,673,3,2,3,87,138.5
Gus Edwards,RB,24,16,0,0,0,0,0,133,711,2,7,7,45,0,2,2,86,92.6
DeAndre Washington,RB,26,16,0,0,0,0,0,108,387,3,41,36,292,0,0,3,86,121.9
Tarik Cohen,RB,24,16,0,0,0,0,0,64,213,0,104,79,456,3,3,3,85,163.9
Joe Flacco,QB,34,8,171,262,1822,6,5,12,20,0,0,0,0,0,8,0,85,84.9
Will Fuller,WR,25,11,0,0,0,0,0,0,0,0,71,49,670,3,1,3,85,134.0
Marcus Mariota,QB,26,7,95,160,1203,7,2,24,129,0,0,0,0,0,3,0,85,85.0
Hunter Renfrow,WR,24,13,0,0,0,0,0,0,0,0,71,49,605,4,1,4,85,133.5
Sterling Shepard,WR,26,10,0,0,0,0,0,6,72,0,83,57,576,3,0,3,85,141.8
Matt Breida,RB,24,13,0,0,0,0,0,123,623,1,22,19,120,1,2,2,84,103.3
Adam Thielen,WR,29,10,0,0,0,0,0,4,6,1,48,30,418,6,0,7,84,114.4
Taysom Hill,QB,29,16,3,6,55,0,0,27,156,1,22,19,234,6,0,7,83,102.2
Frank Gore,RB,36,16,0,0,0,0,0,166,599,2,16,13,100,0,0,2,82,94.9
T.Y. Hilton,WR,30,10,0,0,0,0,0,0,0,0,68,45,501,5,0,5,80,125.1
Kenny Stills,WR,27,13,0,0,0,0,0,0,0,0,55,40,561,4,0,4,80,120.1
Danny Amendola,WR,34,15,1,1,19,1,0,0,0,0,97,62,678,1,0,1,79,140.6
Alshon Jeffery,WR,29,10,0,0,0,0,0,1,2,1,73,43,490,4,0,5,79,122.2
Dwayne Haskins,QB,22,9,119,203,1365,7,7,20,101,0,0,0,0,0,6,0,77,76.7
Jason Witten,TE,37,16,0,0,0,0,0,0,0,0,83,63,529,4,1,4,77,139.9
Brandin Cooks,WR,26,14,0,0,0,0,0,6,52,0,72,42,583,2,0,2,76,117.5
Darren Fells,TE,33,16,0,0,0,0,0,0,0,0,48,34,341,7,0,7,76,110.1
Anthony Miller,WR,25,16,0,0,0,0,0,1,-1,0,85,52,656,2,1,2,76,127.5
Steven Sims,WR,22,16,0,1,0,0,0,9,85,1,56,34,310,4,1,6,76,109.5
Kerryon Johnson,RB,22,8,0,0,0,0,0,113,403,3,15,10,127,1,1,4,75,85.0
Kyle Rudolph,TE,30,16,0,0,0,0,0,0,0,0,48,39,367,6,0,6,75,113.7
Rex Burkhead,RB,29,13,0,0,0,0,0,65,302,3,38,27,279,0,1,3,74,101.1
Nyheim Hines,RB,23,16,0,0,0,0,0,52,199,2,58,44,320,0,1,4,74,117.9
Tony Pollard,RB,22,15,0,0,0,0,0,86,455,2,20,15,107,1,1,3,74,89.2
Boston Scott,RB,24,11,0,0,0,0,0,61,245,5,26,24,204,0,4,5,73,96.9
Corey Davis,WR,24,15,0,0,0,0,0,0,0,0,69,43,601,2,1,2,72,115.1
Phillip Dorsett,WR,26,14,0,0,0,0,0,3,21,0,54,29,397,5,0,5,72,100.8
Greg Olsen,TE,34,14,0,0,0,0,0,0,0,0,82,52,597,2,0,2,72,123.7
Chase Edmonds,RB,23,13,0,0,0,0,0,60,303,4,21,12,105,1,0,5,71,82.8
Noah Fant,TE,22,16,0,0,0,0,0,3,-12,0,66,40,562,3,1,3,71,111.0
JuJu Smith-Schuster,WR,23,12,0,0,0,0,0,0,0,0,70,42,552,3,1,3,71,113.2
Jonnu Smith,TE,24,16,0,0,0,0,0,4,78,0,44,35,439,3,0,3,70,104.7
Jack Doyle,TE,29,16,0,0,0,0,0,0,0,0,72,43,448,4,1,4,69,111.8
Demarcus Robinson,WR,25,16,0,0,0,0,0,0,0,0,55,32,449,4,0,4,69,100.9
Kendrick Bourne,WR,24,16,0,0,0,0,0,0,0,0,44,30,358,5,0,5,68,97.8
Allen Lazard,WR,24,16,0,0,0,0,0,1,21,0,52,35,477,3,0,3,68,102.8
Drew Lock,QB,23,5,100,156,1020,7,3,18,72,0,0,0,0,0,3,0,68,68.0
Rashaad Penny,RB,23,10,0,0,0,0,0,65,370,3,11,8,83,1,1,4,67,75.3
John Ross,WR,24,8,0,0,0,0,0,3,4,0,56,28,506,3,1,3,67,95.0
Evan Engram,TE,25,8,0,0,0,0,0,3,7,0,68,44,467,3,0,3,65,109.4
Mohamed Sanu,WR,30,15,0,0,0,0,0,3,11,0,89,59,520,2,0,2,65,124.1
Tyler Eifert,TE,29,16,0,0,0,0,0,0,0,0,63,43,436,3,0,3,64,106.6
Ryan Griffin,TE,29,13,0,0,0,0,0,0,0,0,41,34,320,5,0,5,64,98.0
Kareem Hunt,RB,24,8,0,0,0,0,0,43,179,2,44,37,285,1,1,3,64,101.4
Willie Snead,WR,27,16,0,0,0,0,0,2,2,0,46,31,339,5,0,5,64,95.1
Jimmy Graham,TE,33,16,0,0,0,0,0,0,0,0,60,38,447,3,1,3,63,100.7
Auden Tate,WR,22,12,0,0,0,0,0,0,0,0,80,40,575,1,1,1,62,101.5
Taylor Gabriel,WR,28,9,0,0,0,0,0,3,20,0,48,29,353,4,0,4,61,90.3
Preston Williams,WR,22,8,0,0,0,0,0,0,0,0,60,32,428,3,2,3,59,90.8
Alexander Mattison,RB,21,13,0,0,0,0,0,100,462,1,12,10,82,0,1,1,58,68.4
Marquez Valdes-Scantling,WR,25,16,0,0,0,0,0,2,9,0,56,26,452,2,0,2,58,84.1
Malcolm Brown,RB,26,14,0,0,0,0,0,69,255,5,6,2,16,0,0,5,57,59.1
Jeff Driskel,QB,26,3,62,105,685,4,4,22,151,1,1,1,6,0,1,1,57,58.1
Brian Hill,RB,24,12,0,0,0,0,0,78,323,2,14,10,69,1,0,3,57,67.2
Jaylen Samuels,RB,23,14,4,5,35,0,1,66,175,1,57,47,305,1,1,2,57,104.4
Tajae Sharpe,WR,25,15,0,0,0,0,0,0,0,0,35,25,329,4,0,4,57,81.9
Eric Ebron,TE,26,11,0,0,0,0,0,0,0,0,52,31,375,3,0,3,56,86.5
Ted Ginn Jr.,WR,34,16,0,0,0,0,0,3,18,0,56,30,421,2,0,2,56,85.9
Nelson Agholor,WR,26,11,0,0,0,0,0,2,7,0,69,39,363,3,2,3,55,94.0
Cameron Brate,TE,28,16,0,0,0,0,0,0,0,0,55,36,311,4,0,4,55,91.1
Keelan Cole,WR,26,16,0,0,0,0,0,1,6,0,35,24,361,3,0,3,55,78.7
Blake Jarwin,TE,25,16,0,0,0,0,0,0,0,0,41,31,365,3,1,3,55,85.5
Benny Snell Jr.,RB,21,13,0,0,0,0,0,108,426,2,4,3,23,0,1,2,55,57.9
Jordan Akins,TE,27,16,0,0,0,0,0,0,0,0,55,36,418,2,0,2,54,89.8
David Blough,QB,24,5,94,174,984,4,6,8,31,0,1,1,19,1,1,1,54,55.4
Eli Manning,QB,38,4,91,147,1042,6,5,4,7,0,0,0,0,0,3,0,54,54.4
Alex Erickson,WR,27,16,1,1,26,0,0,5,33,0,78,43,529,0,4,0,53,96.2
Gerald Everett,TE,25,13,0,0,0,0,0,1,0,0,60,37,408,2,0,2,53,89.8
Jacob Hollister,TE,26,11,0,0,0,0,0,0,0,0,59,41,349,3,0,3,53,93.9
Tre'Quan Smith,WR,23,11,0,0,0,0,0,0,0,0,25,18,234,5,0,5,53,71.4
Darrel Williams,RB,24,12,0,0,0,0,0,41,141,3,19,15,167,1,1,4,53,67.8
Allen Hurns,WR,28,14,0,0,0,0,0,0,0,0,47,32,416,2,1,2,52,83.6
Dawson Knox,TE,23,15,0,0,0,0,0,1,9,0,50,28,388,2,0,2,52,79.7
Chris Thompson,RB,29,11,0,0,0,0,0,37,138,0,58,42,378,0,1,0,52,93.6
Will Dissly,TE,23,6,0,0,0,0,0,1,7,0,27,23,262,4,1,4,51,73.9
Devlin Hodges,QB,23,8,100,160,1063,5,8,21,68,0,0,0,0,0,5,0,51,51.3
Russell Gage,WR,23,16,0,0,0,0,0,4,12,0,74,49,446,1,1,1,50,98.8
Derrius Guice,RB,22,5,0,0,0,0,0,42,245,2,9,7,79,1,0,3,50,57.4
O.J. Howard,TE,25,14,0,0,0,0,0,0,0,0,53,34,459,1,1,1,50,83.9
Adam Humphries,WR,26,12,0,0,0,0,0,1,1,0,47,37,374,2,1,2,50,86.5
J.D. McKissic,RB,26,16,0,0,0,0,0,38,205,0,42,34,233,1,0,1,50,83.8
T.J. Hockenson,TE,22,12,0,0,0,0,0,0,0,0,59,32,367,2,0,2,49,80.7
Demaryius Thomas,WR,32,11,0,0,0,0,0,0,0,0,58,36,433,1,0,1,49,85.3
Olabisi Johnson,WR,22,16,0,0,0,0,0,1,6,0,45,31,294,3,0,3,48,79.0
Mike Boone,RB,24,16,0,0,0,0,0,49,273,3,4,3,17,0,0,3,47,50.0
Josh Gordon,WR,28,11,0,1,0,0,1,1,1,0,47,27,426,1,0,1,47,73.7
Hayden Hurst,TE,26,16,0,0,0,0,0,0,0,0,39,30,349,2,0,2,47,76.9
Foster Moreau,TE,22,13,0,0,0,0,0,0,0,0,25,21,174,5,0,5,47,68.4
Jalen Richard,RB,26,16,0,0,0,0,0,39,145,0,43,36,323,0,2,0,47,82.8
Jordan Wilkins,RB,25,14,0,0,0,0,0,51,307,2,11,7,43,0,0,2,47,54.0
Vance McDonald,TE,29,14,0,0,0,0,0,1,2,0,55,38,273,3,1,3,46,83.5
Albert Wilson,WR,27,13,1,2,20,0,0,5,45,0,62,43,351,1,0,1,46,89.4
Patrick Laird,RB,24,15,0,0,0,0,0,62,168,1,30,23,204,0,0,1,45,68.2
Ricky Seals-Jones,TE,24,14,0,0,0,0,0,0,0,0,22,14,229,4,1,4,45,58.9
Kaden Smith,TE,22,9,0,0,0,0,0,0,0,0,42,31,268,3,2,3,45,75.8
Nick Boyle,TE,26,16,0,0,0,0,0,0,0,0,43,31,321,2,0,2,44,75.1
Jeff Wilson,RB,24,10,0,0,0,0,0,27,105,4,5,3,34,1,0,5,44,46.9
David Moore,WR,24,14,0,0,0,0,0,3,25,0,34,17,301,2,2,2,43,59.6
Irv Smith Jr.,TE,21,16,0,0,0,0,0,0,0,0,47,36,311,2,1,2,43,79.1
Brandon Bolden,RB,29,15,0,0,0,0,0,15,68,3,11,9,111,1,0,4,42,50.9
Justice Hill,RB,22,16,0,0,0,0,0,58,225,2,15,8,70,0,0,2,42,49.5
Cody Latimer,WR,27,15,0,0,0,0,0,0,0,0,42,24,300,2,0,2,42,66.0
Matt Moore,QB,35,6,59,91,659,4,0,5,-1,0,0,0,0,0,2,0,42,42.3
Bo Scarbrough,RB,25,6,0,0,0,0,0,89,377,1,4,1,5,0,1,1,42,43.2
Geronimo Allison,WR,25,16,0,0,0,0,0,1,7,0,55,34,287,2,2,2,41,75.4
Josh Hill,TE,29,16,0,0,0,0,0,0,0,0,35,25,226,3,0,3,41,65.6
Dion Lewis,RB,29,16,0,0,0,0,0,54,209,0,32,25,164,1,1,1,41,66.3
Josh Reynolds,WR,24,16,0,0,0,0,0,5,23,0,43,21,326,1,0,1,41,61.9
Damiere Byrd,WR,26,11,0,0,0,0,0,0,0,0,46,32,359,1,1,1,40,71.9
Marcus Johnson,WR,25,8,0,0,0,0,0,0,0,0,33,17,277,2,0,2,40,56.7
Dare Ogunbowale,RB,25,16,0,0,0,0,0,11,17,2,46,35,286,0,2,2,40,75.3
Seth Roberts,WR,28,16,0,0,0,0,0,0,0,0,35,21,271,2,0,2,39,60.1
Kalen Ballage,RB,24,12,0,0,0,0,0,74,135,3,24,14,63,0,0,3,38,51.8
Giovani Bernard,RB,28,16,0,0,0,0,0,53,170,0,43,30,234,0,2,0,38,68.4
Miles Boykin,WR,23,16,0,0,0,0,0,0,0,0,22,13,198,3,0,3,38,50.8
Nick Foles,QB,30,4,77,117,736,3,2,4,23,0,0,0,0,0,2,0,38,37.7
Ryquell Armstead,RB,23,16,0,0,0,0,0,35,108,0,24,14,144,2,0,2,37,51.2
Wayne Gallman,RB,25,10,0,0,0,0,0,29,110,2,15,11,102,1,0,3,37,48.2
Kelvin Harmon,WR,23,16,1,1,11,0,0,0,0,0,44,30,365,0,0,0,37,66.9
Paul Richardson,WR,27,10,0,0,0,0,0,1,0,0,42,28,245,2,0,2,37,64.5
DaeSean Hamilton,WR,24,16,0,0,0,0,0,0,0,0,52,28,297,1,0,1,36,63.7
Ty Johnson,RB,22,16,0,0,0,0,0,63,273,0,31,24,109,0,1,0,36,60.2
Isaiah McKenzie,WR,24,15,0,0,0,0,0,8,49,0,39,27,254,1,0,1,36,63.3
Jakobi Meyers,WR,23,15,0,0,0,0,0,0,0,0,41,26,359,0,0,0,36,61.9
C.J. Uzomah,TE,26,16,0,0,0,0,0,0,0,0,40,27,242,2,0,2,36,63.2
Demetrius Harris,TE,28,15,0,0,0,0,0,0,0,0,27,15,149,3,0,3,35,49.9
Jonathan Williams,RB,25,9,0,0,0,0,0,49,235,1,5,5,59,0,0,1,35,40.4
Tavon Austin,WR,29,14,0,0,0,0,0,6,47,1,24,13,177,1,1,2,34,47.4
Delanie Walker,TE,35,7,0,0,0,0,0,0,0,0,31,21,215,2,1,2,34,54.5
Brandon Allen,QB,27,3,39,84,515,3,2,10,39,0,0,0,0,0,0,0,33,32.5
Marvin Hall,WR,26,9,0,0,0,0,0,1,7,0,11,7,261,1,0,1,33,39.8
Matt Schaub,QB,38,6,50,67,580,3,1,3,-3,0,0,0,0,0,1,0,33,32.9
Jaron Brown,WR,29,14,0,0,0,0,0,0,0,0,28,16,220,2,1,2,32,48.0
Vyncint Smith,WR,23,13,0,0,0,0,0,3,52,1,31,17,225,0,1,1,32,48.7
Greg Ward,WR,24,7,0,0,0,0,0,1,5,0,40,28,254,1,0,1,32,59.9
