Player,Position21,Age21,Games21,Pass Cmp21,Pass Att21,Pass Yds21,Pass TD21,Pass Int21,Rush Att21,Rush Yds21,Rush TD21,Rec Tgt21,Rec21,Rec Yds21,Rec TD21,Fmb21,Tot TD21,FantPt21,PPR21
Jonathan Taylor,RB,22,17,0,0,0,0,0,332,1811,18,51,40,360,2,4,20,333,373.1
Cooper Kupp,WR,28,17,0,1,0,0,0,4,18,0,191,145,1947,16,0,16,295,439.5
Deebo Samuel,WR,25,16,1,2,24,1,0,59,365,8,121,77,1405,6,4,14,262,339.0
Josh Allen,QB,25,17,409,646,4407,36,15,122,763,6,0,0,0,0,8,6,403,402.6
Austin Ekeler,RB,26,16,0,0,0,0,0,206,911,12,94,70,647,8,4,20,274,343.8
Justin Herbert,QB,23,17,443,672,5014,38,15,63,302,3,0,0,0,0,1,3,381,380.8
Tom Brady,QB,44,17,485,719,5316,43,12,28,81,2,0,0,0,0,4,2,375,374.7
Mark Andrews,TE,26,17,0,0,0,0,0,1,0,0,153,107,1361,9,1,9,194,301.1
Ja'Marr Chase,WR,21,17,0,0,0,0,0,7,21,0,128,81,1455,13,2,13,224,304.6
Justin Jefferson,WR,22,17,2,4,35,0,0,6,14,0,167,108,1616,10,1,10,222,330.4
Joe Mixon,RB,25,16,0,0,0,0,0,292,1205,13,48,42,314,3,2,16,246,287.9
Davante Adams,WR,29,16,0,0,0,0,0,0,0,0,169,123,1553,11,0,11,221,344.3
Patrick Mahomes,QB,26,17,436,658,4839,37,13,66,381,2,0,0,0,0,9,2,362,361.7
Najee Harris,RB,23,17,0,0,0,0,0,307,1200,7,94,74,467,3,0,10,227,300.7
Travis Kelce,TE,32,16,0,0,0,0,0,2,3,1,134,92,1125,9,1,10,171,262.8
James Conner,RB,26,15,0,0,0,0,0,202,752,15,39,37,375,3,2,18,221,257.7
Mike Evans,WR,28,16,0,0,0,0,0,1,10,0,114,74,1035,14,0,14,189,262.5
Aaron Rodgers,QB,38,16,366,531,4115,37,4,33,101,3,1,1,-4,0,3,3,332,333.3
Tyreek Hill,WR,27,17,0,0,0,0,0,9,96,0,159,111,1239,9,2,9,186,296.5
Matthew Stafford,QB,33,17,404,601,4886,41,17,32,43,0,0,0,0,0,5,0,330,329.7
Stefon Diggs,WR,28,17,0,0,0,0,0,0,0,0,164,103,1225,10,1,10,183,285.5
Ezekiel Elliott,RB,26,17,1,1,4,0,0,237,1002,10,65,47,287,2,1,12,205,252.1
Dak Prescott,QB,28,16,410,596,4449,37,10,48,146,1,0,0,0,0,14,1,321,320.6
Nick Chubb,RB,26,14,0,0,0,0,0,228,1259,8,25,20,174,1,2,9,195,215.3
Mike Williams,WR,27,16,0,0,0,0,0,0,0,0,129,76,1146,9,0,9,171,246.6
D.K. Metcalf,WR,24,17,0,0,0,0,0,1,6,0,129,75,967,12,1,12,169,244.3
Tyler Lockett,WR,29,16,0,0,0,0,0,2,9,0,107,73,1175,8,0,8,168,241.4
Damien Harris,RB,24,15,0,0,0,0,0,202,929,15,21,18,132,0,2,15,192,210.1
Joe Burrow,QB,25,16,366,520,4611,34,14,40,118,2,0,0,0,0,5,2,314,314.2
Diontae Johnson,WR,25,16,0,0,0,0,0,5,53,0,169,107,1161,8,2,8,167,274.4
Jalen Hurts,QB,23,15,265,432,3144,16,9,139,784,10,1,0,0,0,9,10,312,312.2
Alvin Kamara,RB,26,13,0,0,0,0,0,240,898,4,67,47,439,5,0,9,188,234.7
Antonio Gibson,RB,23,16,0,0,0,0,0,258,1037,7,52,42,294,3,6,10,187,229.1
Leonard Fournette,RB,26,14,0,1,0,0,0,180,812,8,84,69,454,2,1,10,187,255.6
Dalton Schultz,TE,25,17,0,0,0,0,0,0,0,0,104,78,808,8,0,8,131,208.8
Cordarrelle Patterson,RB,30,16,0,1,0,0,0,153,618,6,69,52,548,5,2,11,183,234.6
George Kittle,TE,28,14,0,0,0,0,0,3,20,0,94,71,910,6,2,6,127,198.0
Hunter Renfrow,WR,26,17,0,0,0,0,0,3,3,0,128,103,1038,9,5,9,156,259.1
CeeDee Lamb,WR,22,16,0,0,0,0,0,9,76,0,120,79,1102,6,0,6,154,232.8
Kyler Murray,QB,24,14,333,481,3787,24,10,88,423,5,0,0,7,0,13,5,300,300.5
Kirk Cousins,QB,33,16,372,561,4221,33,7,29,115,1,0,0,0,0,12,1,300,300.3
Aaron Jones,RB,27,15,0,0,0,0,0,171,799,4,65,52,391,6,2,10,177,229.0
Keenan Allen,WR,29,16,0,1,0,0,0,0,0,0,157,106,1138,6,1,6,152,257.8
Derrick Henry,RB,27,8,1,1,5,1,0,219,937,10,20,18,154,0,1,10,175,193.3
Michael Pittman Jr.,WR,24,17,0,0,0,0,0,5,44,0,129,88,1082,6,1,6,151,238.6
Dalvin Cook,RB,26,13,0,0,0,0,0,249,1159,6,49,34,224,0,3,6,172,206.3
Josh Jacobs,RB,23,15,0,0,0,0,0,217,872,9,64,54,348,0,2,9,172,226.0
Rob Gronkowski,TE,32,12,0,0,0,0,0,0,0,0,89,55,802,6,0,6,116,171.2
Tee Higgins,WR,22,14,0,0,0,0,0,0,0,0,110,74,1091,6,1,6,145,219.1
Dawson Knox,TE,25,15,0,0,0,0,0,0,4,0,71,49,587,9,0,9,115,164.1
D.J. Moore,WR,24,17,0,0,0,0,0,8,48,0,163,93,1157,4,1,4,145,237.5
Chris Godwin,WR,25,14,0,0,0,0,0,4,21,1,127,98,1103,5,2,6,144,242.4
Hunter Henry,TE,27,17,0,0,0,0,0,0,0,0,75,50,603,9,0,9,114,164.3
Melvin Gordon,RB,28,16,0,0,0,0,0,203,918,8,38,28,213,2,3,10,167,195.1
Jaylen Waddle,WR,23,16,0,0,0,0,0,2,3,1,140,104,1015,6,2,7,142,245.8
Brandin Cooks,WR,28,16,0,0,0,0,0,2,21,0,134,90,1037,6,0,6,142,231.8
Dallas Goedert,TE,26,15,0,0,0,0,0,0,0,0,76,56,830,4,1,4,109,165.0
Darnell Mooney,WR,24,17,0,0,0,0,0,6,32,1,140,81,1055,4,0,5,139,219.7
Kyle Pitts,TE,21,17,0,0,0,0,0,0,0,0,110,68,1026,1,0,1,109,176.6
Javonte Williams,RB,21,17,0,0,0,0,0,203,903,4,53,43,316,3,2,7,162,204.9
Amon-Ra St. Brown,WR,22,17,0,0,0,0,0,7,61,1,119,90,912,5,0,6,137,227.3
Zach Ertz,TE,31,17,0,0,0,0,0,1,4,0,112,74,763,5,0,5,107,180.7
Terry McLaurin,WR,26,17,0,0,0,0,0,1,12,0,130,77,1053,5,0,5,137,213.5
Marquise Brown,WR,24,16,0,0,0,0,0,1,5,0,146,91,1008,6,3,6,135,226.3
Amari Cooper,WR,27,15,0,0,0,0,0,0,0,0,104,68,865,8,1,8,135,202.5
Devin Singletary,RB,24,17,0,0,0,0,0,188,870,7,50,40,228,1,5,8,158,197.8
Adam Thielen,WR,31,13,0,0,0,0,0,1,2,0,95,67,726,10,1,10,133,199.8
Christian Kirk,WR,25,17,1,1,33,0,0,1,11,0,103,77,982,5,0,5,131,207.6
David Montgomery,RB,24,13,0,1,0,0,1,225,849,7,51,42,301,0,1,7,153,195.0
AJ Dillon,RB,23,17,0,0,0,0,0,187,803,5,37,34,313,2,2,7,152,185.6
Kendrick Bourne,WR,26,17,1,1,25,1,0,12,125,0,70,55,800,5,1,5,126,180.5
Darrel Williams,RB,26,17,0,0,0,0,0,144,558,6,57,47,452,2,0,8,149,196.0
D'Andre Swift,RB,22,13,0,1,0,0,0,151,617,5,78,62,452,2,2,7,147,208.9
Mike Gesicki,TE,26,17,0,1,0,0,0,0,0,0,112,73,780,2,0,2,92,165.0
Nick Ralston,,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Elijah Mitchell,RB,23,11,0,0,0,0,0,207,963,5,20,19,137,1,0,6,146,165.0
Tory Carter,,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ryan Tannehill,QB,33,17,357,531,3734,21,14,55,270,7,0,0,0,0,10,7,268,268.4
Carson Wentz,QB,29,17,322,516,3563,27,7,57,215,1,0,0,0,0,8,1,258,258.0
Derek Carr,QB,30,17,428,626,4804,23,14,40,108,0,0,0,0,0,13,0,257,257.0
Russell Wilson,QB,33,14,259,400,3113,25,6,43,183,2,0,0,0,0,6,2,243,242.8
Lamar Jackson,QB,24,12,246,382,2882,16,13,133,767,2,0,0,0,0,6,2,240,240.0
Jimmy Garoppolo,QB,30,15,301,441,3810,20,12,38,51,3,0,0,0,0,8,3,228,227.5
Mac Jones,QB,23,17,352,521,3801,22,13,44,129,0,0,0,0,0,7,0,225,224.9
Matt Ryan,QB,36,17,375,560,3968,20,12,40,82,1,0,0,0,0,11,1,223,222.9
Taylor Heinicke,QB,28,16,321,494,3419,20,15,60,313,1,1,1,-2,0,7,1,222,222.9
Ben Roethlisberger,QB,39,16,390,605,3740,22,10,20,5,1,0,0,0,0,11,1,218,218.1
Teddy Bridgewater,QB,29,14,285,426,3052,18,7,30,106,2,0,0,0,0,1,2,203,202.7
Trevor Lawrence,QB,22,17,359,602,3641,12,17,73,334,2,0,0,0,0,9,2,199,199.0
Jared Goff,QB,27,14,332,494,3245,19,8,17,87,0,0,0,0,0,9,0,195,194.5
